label,message
ham,"Hey, are we meeting today?"
spam,"Congratulations! You have won a free prize. Click here to claim now!"
ham,"Can you send me the project report?"
spam,"URGENT! You have won $1000. Send your details to receive your reward."
ham,"Your appointment is confirmed for tomorrow."
spam,"FREE entry in a weekly competition. Text WIN to claim your prize!"
ham,"Please call me when you reach home."
spam,"You have been selected for a cash reward. Claim immediately!"
ham,"Don't forget to bring your laptop tomorrow."
spam,"Congratulations! You are the lucky winner of a brand new phone!"
ham,"Can you share the notes from today's class?"
spam,"Get cheap loans instantly. Apply now and receive money today!"
ham,"Your order has been shipped and will arrive tomorrow."
spam,"You have won a FREE vacation. Click the link to claim your holiday!"
ham,"Let's meet at 5 PM today."
spam,"URGENT: Your account has won a reward. Claim your prize now!"
ham,"Thanks for helping me with the assignment."
spam,"Exclusive offer! Buy now and get everything absolutely FREE!"
ham,"The meeting has been moved to 3 PM."
spam,"Congratulations! You have been selected for a special cash bonus!"
